main_category,subcategory,title,author,url,source
Literature,Literature - Other,Cato,"Joseph Addison, Christine Dunn Henderson, Mark E. Yellin",https://openlibrary.org/works/OL1172803W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Cato Maior de Senectute with Introduction and Notes (Latin),Marcus Tullius Cicero,https://www.gutenberg.org/ebooks/14945,gutenberg
History,History - Royalty,"Charles the Bold, Last Duke of Burgundy, 1433-1477",Ruth Putnam,https://www.gutenberg.org/ebooks/14496,gutenberg
Arts & Culture,Fashion,Chats on Costume,G. Woolliscroft Rhead,https://www.gutenberg.org/ebooks/46949,gutenberg
History,History - Ancient,"Chechent︠s︡y v istorii, politike, nauke i kulʹture Rossii","Turkaev, Kh. V.",https://openlibrary.org/works/OL32734872W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Chess Fundamentals,José Raúl Capablanca,https://www.gutenberg.org/ebooks/33870,gutenberg
Lifestyle & Hobbies,Sports/Hobbies,Chess Strategy,Edward Lasker,https://www.gutenberg.org/ebooks/5614,gutenberg
Science & Technology,Science - Earth/Agricultural/Farming,Chicken tractor,"Andrew W. Lee, Andy Lee, Pat Foreman",https://openlibrary.org/works/OL4328615W,openlibrary
Religion & Philosophy,Religion/Spirituality,灵历集光 (Chinese),Shangjie Song,https://www.gutenberg.org/ebooks/25716,gutenberg
Social Sciences & Society,Old Age & the Elderly,分甘余話 (Chinese),Shizhen Wang,https://www.gutenberg.org/ebooks/26746,gutenberg
History,History - Royalty,宋史 (Chinese),Tuotuo,https://www.gutenberg.org/ebooks/24183,gutenberg
Literature,Literature - Other,文心雕龍 (Chinese),Xie Liu,https://www.gutenberg.org/ebooks/23822,gutenberg
Literature,Literature - Other,中國小說史略 (Chinese),Xun Lu,https://www.gutenberg.org/ebooks/25559,gutenberg
Arts & Culture,Architecture,Christo,"Christo, Wolfgang Volz, Jonathan David Fineberg, Janet Mulholland, Werner Spies",https://openlibrary.org/works/OL725386W,openlibrary
History,History - European,Christopher Columbus and How He Received and Imparted the Spirit of Discovery,Justin Winsor,https://www.gutenberg.org/ebooks/42059,gutenberg
Health & Medicine,Drugs/Alcohol/Pharmacology,"Chronicles of Pharmacy, Vol. 1 (of 2)",A. C. Wootton,https://www.gutenberg.org/ebooks/65872,gutenberg
Health & Medicine,Drugs/Alcohol/Pharmacology,"Chronicles of Pharmacy, Vol. 2 (of 2)",A. C. Wootton,https://www.gutenberg.org/ebooks/67414,gutenberg
Science & Technology,Science - Earth/Agricultural/Farming,"Climate variability, predictability and climate risks",Heinz Wanner,https://openlibrary.org/works/OL16985592W,openlibrary
Social Sciences & Society,Law & Criminology,"Commentaries on the Laws of England, Book the First",Sir William Blackstone,https://www.gutenberg.org/ebooks/30802,gutenberg
Social Sciences & Society,Politics,Common Sense,Thomas Paine,https://www.gutenberg.org/ebooks/147,gutenberg
Social Sciences & Society,Law & Criminology,Community policing,"Robert C. Trojanowicz, Victor E. Kappeler, Larry K. Gaines, Bonnie Bucqueroux",https://openlibrary.org/works/OL1872507W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Community resources for older adults,"Robbyn R. Wacker, Karen A. Roberto",https://openlibrary.org/works/OL2711363W,openlibrary
Social Sciences & Society,Law & Criminology,Comparative criminal justice systems,"Erika Fairchild, Harry R. Dammer",https://openlibrary.org/works/OL4301945W,openlibrary
Health & Medicine,Nutrition,"Complete Herbalist; Or, People Their Own Physician",O. Phelps Brown,https://openlibrary.org/works/OL7858733W,openlibrary
Science & Technology,Engineering & Technology,Computer Networks,"Andrew S. Tanenbaum, John David Wetherall, David J. Wetherall, Nickolas Feamster, David Wetherall, James F. Kurose, Keith W. Ross",https://openlibrary.org/works/OL1970691W,openlibrary
Science & Technology,Engineering & Technology,Computers—the machines we think with,D. S. Halacy,https://www.gutenberg.org/ebooks/72572,gutenberg
Education & Reference,Reports & Conference Proceedings,"Conference literature, its role in the distribution of information","Workshop on Conference Literature in Science and Technology (1980 Albuquerque, N.M.)",https://openlibrary.org/works/OL5638523W,openlibrary
Education & Reference,Reports & Conference Proceedings,Conference on Population Issues in Ethiopia's National Development,"Conference on Population Issues in Ethiopia's National Development (1989 Addis Ababa, Ethiopia)",https://openlibrary.org/works/OL3736590W,openlibrary
History,History - Religious,Confessions,Augustine of Hippo,https://openlibrary.org/works/OL137872W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,Confessions of an English Opium-Eater,Thomas De Quincey,https://www.gutenberg.org/ebooks/2040,gutenberg
Education & Reference,Teaching & Education,Confidential Chats with Girls,William Lee Howard,https://www.gutenberg.org/ebooks/57551,gutenberg
History,Archaeology & Anthropology,Conformity and conflict,"James P. Spradley, David W. McCurdy, Dianna Shandy, David McCurdy",https://openlibrary.org/works/OL15457677W,openlibrary
Arts & Culture,Music,Contemporary American Composers,Rupert Hughes,https://www.gutenberg.org/ebooks/23800,gutenberg
Health & Medicine,Nutrition,Contemporary Nutrition,"Gordon M. Wardlaw, Anne M Smith, Paul M. Insel, Marcia F. Seyler, Angela L. Collene, Colleen K. Spees",https://openlibrary.org/works/OL1853601W,openlibrary
History,History - Ancient,Cookery and Dining in Imperial Rome,Apicius,https://www.gutenberg.org/ebooks/29728,gutenberg
Arts & Culture,Music,Correspondence,Wolfgang Amadeus Mozart,https://openlibrary.org/works/OL624288W,openlibrary
Literature,British Literature,Cranford,Elizabeth Cleghorn Gaskell,https://www.gutenberg.org/ebooks/394,gutenberg
Social Sciences & Society,Law & Criminology,Crime and criminology,"R. D. White, Rob White, Fiona Haines",https://openlibrary.org/works/OL2098161W,openlibrary
Social Sciences & Society,Law & Criminology,Crime and custom in savage society,Bronisław Malinowski,https://openlibrary.org/works/OL1211014W,openlibrary
Literature,"Crime, Thrillers & Mystery",Crime and Punishment,Fyodor Dostoyevsky,https://www.gutenberg.org/ebooks/2554,gutenberg
History,History - Religious,Crimes of Preachers in the United States and Canada,M. E. Billings,https://www.gutenberg.org/ebooks/57764,gutenberg
Social Sciences & Society,Law & Criminology,Criminal justice internships,"Gary R. Gordon, R. Bruce McBride, Hedy Hyde Hage",https://openlibrary.org/works/OL3003200W,openlibrary
Social Sciences & Society,Law & Criminology,Criminal profiling,Brent E. Turvey,https://openlibrary.org/works/OL16140187W,openlibrary
Social Sciences & Society,Law & Criminology,"Criminal Psychology: A Manual for Judges, Practitioners, and Students",Hans Gross,https://www.gutenberg.org/ebooks/1320,gutenberg
Social Sciences & Society,Old Age & the Elderly,Critical Discourses of Old Age and Telecare Technologies,Gizdem Akdur,https://openlibrary.org/works/OL20753292W,openlibrary
Literature,Literature - Other,Critical Studies,Ouida,https://www.gutenberg.org/ebooks/36788,gutenberg
Social Sciences & Society,Psychiatry/Psychology,Critique of psychoanalysis,Carl Gustav Jung,https://openlibrary.org/works/OL95078W,openlibrary
Arts & Culture,"Essays, Letters & Speeches",Culture and anarchy; an essay in political and social criticism,"Matthew Arnold, Matthew Arnold, M Arnold, Matthew (Edited with an Introduction By J. Dover Wilson) Arnold, George Saintsbury, George William Erskine Russell, Marciano Guerrero",https://openlibrary.org/works/OL1336695W,openlibrary
Arts & Culture,Fashion,Cupcake Diaries,Coco Simon,https://openlibrary.org/works/OL21462088W,openlibrary
Literature,Literature - Other,"Curiosities of Literature, Vol. 3",Isaac Disraeli,https://www.gutenberg.org/ebooks/31078,gutenberg
Education & Reference,Journals,"Current History, Vol. VIII, No. 3, June 1918",Various,https://www.gutenberg.org/ebooks/41479,gutenberg
History,History - European,Cyrano de Bergerac,Edmond Rostand,https://openlibrary.org/works/OL551668W,openlibrary
Literature,American Literature,Daisy Miller,Henry James,https://openlibrary.org/works/OL276328W,openlibrary
Social Sciences & Society,Politics,Das Kapital,Karl Marx,https://openlibrary.org/works/OL628450W,openlibrary
Literature,German Literature,Das Schloß,Franz Kafka,https://openlibrary.org/works/OL498434W,openlibrary
Literature,Novels,David Copperfield,Charles Dickens,https://www.gutenberg.org/ebooks/766,gutenberg
Education & Reference,Journals,"Dear Bill, Remember Me?",Norma Fox Mazer,https://openlibrary.org/works/OL1841648W,openlibrary
Literature,German Literature,Death in Venice,Thomas Mann,https://www.gutenberg.org/ebooks/66073,gutenberg
Literature,"Crime, Thrillers & Mystery",Death on the Nile,Agatha Christie,https://openlibrary.org/works/OL471724W,openlibrary
Literature,German Literature,Decamerone,Giovanni Boccaccio,https://openlibrary.org/works/OL7180368W,openlibrary
Social Sciences & Society,Law & Criminology,Dei delitte e delle pene,Cesare Beccaria,https://openlibrary.org/works/OL1223677W,openlibrary
Literature,Literature - Other,De la démocratie en Amérique,"Alexis de Tocqueville, Gustave de Beaumont, Eduardo Nolla, Henry Reeve, John Canfield Spencer, J. P. Mayer",https://openlibrary.org/works/OL278001W,openlibrary
Education & Reference,Teaching & Education,Democracy and Education: An Introduction to the Philosophy of Education,John Dewey,https://www.gutenberg.org/ebooks/852,gutenberg
Social Sciences & Society,Politics,Democracy in America — Volume 1,Alexis de Tocqueville,https://www.gutenberg.org/ebooks/815,gutenberg
