main_category,subcategory,title,author,url,source
Arts & Culture,"Essays, Letters & Speeches","Essays, Speeches Public Letters",,https://openlibrary.org/works/OL37441938W,openlibrary
Arts & Culture,"Essays, Letters & Speeches","Essays, speeches & public letters",William Faulkner,https://openlibrary.org/works/OL82910W,openlibrary
Literature,American Literature,"Eve's Diary, Complete",Mark Twain,https://www.gutenberg.org/ebooks/8525,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,Evolution's Rainbow,Joan Roughgarden,https://openlibrary.org/works/OL8304028W,openlibrary
Literature,Classics of Literature,"Fables of La Fontaine — a New Edition, with Notes",Jean de La Fontaine,https://www.gutenberg.org/ebooks/7241,gutenberg
History,History - Other,Fairy Tales and Stories,Hans Christian Andersen,https://openlibrary.org/works/OL25397W,openlibrary
Arts & Culture,Fashion,Fall from grace,Danielle Steel,https://openlibrary.org/works/OL19735521W,openlibrary
Arts & Culture,Fashion,Fashion,Gini Stephens Frings,https://openlibrary.org/works/OL1916511W,openlibrary
Arts & Culture,Fashion,Fashion Journalism,Julie Bradford,https://openlibrary.org/works/OL21237397W,openlibrary
Arts & Culture,Fashion,Fashion Theory,Malcolm Barnard,https://openlibrary.org/works/OL20339726W,openlibrary
Literature,German Literature,Faust,Johann Wolfgang von Goethe,https://openlibrary.org/works/OL52456W,openlibrary
Literature,German Literature,Faust [part 1]. Translated Into English in the Original Metres,Johann Wolfgang von Goethe,https://www.gutenberg.org/ebooks/14591,gutenberg
Health & Medicine,Nutrition,Federal-grant research at the state agricultural experiment stations,United States. Agricultural Research Service,https://openlibrary.org/works/OL24949983W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,Fetal alcohol syndrome,Ernest L. Abel,https://openlibrary.org/works/OL1912505W,openlibrary
Education & Reference,Reports & Conference Proceedings,Fifth annual migration conference,Annual Migration Conference (5th 1958 Paris),https://openlibrary.org/works/OL37023376W,openlibrary
Science & Technology,Engineering & Technology,Financial audit,United States. General Accounting Office,https://openlibrary.org/works/OL10733909W,openlibrary
Social Sciences & Society,Law & Criminology,Financial Crime and Corruption,Samuel Vaknin,https://www.gutenberg.org/ebooks/22747,gutenberg
Arts & Culture,Fashion,First Sight,Danielle Steel,https://openlibrary.org/works/OL14873412W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,"Fishing with the fly : sketches by lovers of the art, with illustrations of standard flies",,https://www.gutenberg.org/ebooks/46680,gutenberg
Health & Medicine,Nutrition,Fit for Life,"Marilyn Diamond, Harvey Diamond, Harvy Diamond",https://openlibrary.org/works/OL2737143W,openlibrary
Health & Medicine,Nutrition,Food and Flavor: A Gastronomic Guide to Health and Good Living,Henry T. Finck,https://www.gutenberg.org/ebooks/61719,gutenberg
Health & Medicine,Nutrition,Foods and Household Management: A Textbook of the Household Arts,Helen Kinne and Anna M. Cooley,https://www.gutenberg.org/ebooks/40796,gutenberg
Health & Medicine,Nutrition,Foods and Their Adulteration,Harvey Washington Wiley,https://www.gutenberg.org/ebooks/66164,gutenberg
Science & Technology,Science - Earth/Agricultural/Farming,Food Security Food Prices And Climate Variability,Molly E. Brown,https://openlibrary.org/works/OL17427990W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,"Fools of Fortune; or, Gambling and Gamblers",John Philip Quinn,https://www.gutenberg.org/ebooks/58280,gutenberg
Education & Reference,Reports & Conference Proceedings,"Forty-Eighth Annual Report of the Bureau of American Ethnology to the Secretary of the Smithsonian Institution, 1930-1931, Government Printing Office, Washington, 1933.",,https://www.gutenberg.org/ebooks/50503,gutenberg
Education & Reference,Reports & Conference Proceedings,Forty-Five Years of Digitizing Ebooks: Project Gutenberg's Practices,Gregory B. Newby,https://www.gutenberg.org/ebooks/60600,gutenberg
Literature,Literature - Other,Foundation,Isaac Asimov,https://openlibrary.org/works/OL46125W,openlibrary
Literature,Literature - Other,Foundation and Empire,Isaac Asimov,https://openlibrary.org/works/OL46224W,openlibrary
History,History - Religious,Fox's Book of Martyrs,John Foxe,https://www.gutenberg.org/ebooks/22400,gutenberg
Lifestyle & Hobbies,Sports/Hobbies,"Fox Tossing, Octopus Wrestling and Other Forgotten Sports",Edward Brooke-Hitching,https://openlibrary.org/works/OL24143375W,openlibrary
Literature,Novels,Frankenstein or The Modern Prometheus,Mary Shelley,https://openlibrary.org/works/OL450063W,openlibrary
Literature,British Literature,"Frankenstein; Or, The Modern Prometheus",Mary Wollstonecraft Shelley,https://www.gutenberg.org/ebooks/84,gutenberg
Arts & Culture,Architecture,Frank Lloyd Wright,Frank Lloyd Wright,https://openlibrary.org/works/OL961860W,openlibrary
Arts & Culture,Music,"Frederick Chopin, as a Man and Musician — Complete",Frederick Niecks,https://www.gutenberg.org/ebooks/4973,gutenberg
History,Archaeology & Anthropology,Frozen in time,"Owen Beattie, O. Beattie, J. Geiger, John Geiger",https://openlibrary.org/works/OL4098802W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Game Boy World 1989,Jeremy Parish,https://openlibrary.org/works/OL19799561W,openlibrary
Arts & Culture,Architecture,Garden Cities of To-Morrow,Sir Ebenezer Howard,https://www.gutenberg.org/ebooks/46134,gutenberg
Arts & Culture,Fashion,Gaudy night,Dorothy L. Sayers,https://openlibrary.org/works/OL2234851W,openlibrary
Literature,German Literature,Geflügelte Worte: Der Citatenschatz des deutschen Volkes (German),Georg Büchmann and Walter Robert-tornow,https://www.gutenberg.org/ebooks/43759,gutenberg
History,History - Other,Geographical etymology: a dictionary of place-names giving their derivations,Christina Blackie,https://www.gutenberg.org/ebooks/69018,gutenberg
Social Sciences & Society,Old Age & the Elderly,Geriatric Residential Care,"Robert D. Hill, John Bowling",https://openlibrary.org/works/OL20990356W,openlibrary
Arts & Culture,Fashion,"Germany from the Earliest Period, Volume 4",Wolfgang Menzel,https://www.gutenberg.org/ebooks/8401,gutenberg
Literature,German Literature,Geschlecht und Charakter: Eine prinzipielle Untersuchung (German),Otto Weininger,https://www.gutenberg.org/ebooks/51221,gutenberg
Literature,Literature - Other,Gleanings from the Harvest-Fields of Literature: A Melange of Excerpta,,https://www.gutenberg.org/ebooks/56805,gutenberg
Education & Reference,Reports & Conference Proceedings,Global and local development,Inter-Schools Conference on Development (14th 1997 Edinburgh),https://openlibrary.org/works/OL12136711W,openlibrary
Arts & Culture,Fashion,"Godey's Lady's Book, Vol. 48, No. XVIII, April, 1854",Various,https://www.gutenberg.org/ebooks/58494,gutenberg
Science & Technology,Science - Physics,Goethe's Theory of Colours,Johann Wolfgang von Goethe,https://www.gutenberg.org/ebooks/50572,gutenberg
Arts & Culture,Music,Goethe's Werke,Johann Wolfgang von Goethe,https://openlibrary.org/works/OL15116693W,openlibrary
Arts & Culture,Fashion,Grace,Grace Coddington,https://openlibrary.org/works/OL20190088W,openlibrary
History,History - Religious,Great Expectations,Charles Dickens,https://openlibrary.org/works/OL8721462W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Great Jehoshaphat and Gully Dirt!,Jewell Ellen Smith,https://www.gutenberg.org/ebooks/2357,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,Greek Homosexuality,Kenneth J. Dover,https://openlibrary.org/works/OL2623339W,openlibrary
Literature,German Literature,Grimms' Fairy Tales,Jacob Grimm and Wilhelm Grimm,https://www.gutenberg.org/ebooks/2591,gutenberg
Literature,Literature - Other,"Guide to Life and Literature of the Southwest, with a Few Observations",J. Frank Dobie,https://www.gutenberg.org/ebooks/314,gutenberg
Social Sciences & Society,Politics,Gulliver's Travels,Jonathan Swift,https://openlibrary.org/works/OL20600W,openlibrary
Literature,British Literature,Gulliver's Travels into Several Remote Regions of the World,Jonathan Swift,https://www.gutenberg.org/ebooks/17157,gutenberg
History,Archaeology & Anthropology,Gypsy Sorcery and Fortune Telling,Charles Godfrey Leland,https://www.gutenberg.org/ebooks/58465,gutenberg
Science & Technology,Engineering & Technology,Hacking for Dummies,"Kevin Beaver, Jutta Schmidt",https://openlibrary.org/works/OL6035941W,openlibrary
Literature,Classics of Literature,"Hamlet, Prince of Denmark",William Shakespeare,https://www.gutenberg.org/ebooks/27761,gutenberg
Arts & Culture,Music,Handbook to the Mennonite Hymnary,Lester Hostetler,https://www.gutenberg.org/ebooks/54966,gutenberg
Literature,Novels,Hannibal Rising,Thomas Harris,https://openlibrary.org/works/OL138395W,openlibrary
History,History - European,Hans Andersen's Fairy Tales,Hans Christian Andersen,https://openlibrary.org/works/OL16249171W,openlibrary
Literature,Classics of Literature,Hard Times,Charles Dickens,https://openlibrary.org/works/OL8193387W,openlibrary
Education & Reference,Journals,"Harper's New Monthly Magazine, Vol III, No 13, 1851",Various,https://www.gutenberg.org/ebooks/38787,gutenberg
Literature,Biographies,Harriet Martineau,Florence Fenwick Miller,https://www.gutenberg.org/ebooks/36965,gutenberg
Literature,Novels,Hawthorne,Henry James,https://openlibrary.org/works/OL276461W,openlibrary
History,History - European,Heart of Darkness,Joseph Conrad,https://openlibrary.org/works/OL38663W,openlibrary
Education & Reference,Teaching & Education,Heath's Modern Language Series: The Spanish American Reader (Spanish),Ernesto Nelson,https://www.gutenberg.org/ebooks/39647,gutenberg
Literature,German Literature,Heidi,Johanna Spyri,https://openlibrary.org/works/OL1455042W,openlibrary
Education & Reference,Teaching & Education,Helps to Latin Translation at Sight,Edmund Luce,https://www.gutenberg.org/ebooks/28890,gutenberg
Arts & Culture,Architecture,Henry Moore,"David Sylvester, Henry Moore, J. Hedgecoe, Alan Bowness, Herbert Edward Read, Ann Garrould",https://openlibrary.org/works/OL1001044W,openlibrary
History,History - Royalty,Henry VIII,J. J. Scarisbrick,https://openlibrary.org/works/OL5361840W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,Herbal Simples Approved for Modern Uses of Cure,William Thomas Fernie,https://www.gutenberg.org/ebooks/19352,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,Herland,Charlotte Perkins Gilman,https://www.gutenberg.org/ebooks/32,gutenberg
Arts & Culture,Architecture,Highways and Byways in Cambridge and Ely,John William Edward Conybeare,https://www.gutenberg.org/ebooks/38735,gutenberg
History,History - Other,"Historia Amoris: A History of Love, Ancient and Modern",Edgar Saltus,https://www.gutenberg.org/ebooks/32512,gutenberg
Arts & Culture,Fashion,Historic costume,Katherine Morris Lester,https://openlibrary.org/works/OL5725283W,openlibrary
History,History - European,Historic Paris,Jetta Sophia Wolff,https://www.gutenberg.org/ebooks/42722,gutenberg
History,History - Ancient,History,Herodotus,https://openlibrary.org/works/OL15678068W,openlibrary
History,History - European,History of European morals,William Edward Hartpole Lecky,https://openlibrary.org/works/OL54183W,openlibrary
History,History - Ancient,History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,https://openlibrary.org/works/OL1285005W,openlibrary
History,History - Ancient,History of the Peloponnesian War,Thucydides,https://openlibrary.org/works/OL16200353W,openlibrary
History,Archaeology & Anthropology,History of the Spanish Conquest of Yucatan and of the Itzas,Philip Ainsworth Means,https://www.gutenberg.org/ebooks/33231,gutenberg
Literature,British Literature,"History of Tom Jones, a Foundling",Henry Fielding,https://www.gutenberg.org/ebooks/6593,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,"History of Woman Suffrage, Volume I",,https://www.gutenberg.org/ebooks/28020,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,"History of Woman Suffrage, Volume III",,https://www.gutenberg.org/ebooks/28556,gutenberg
Literature,Literature - Other,Home Life of Great Authors,Hattie Tyng Griswold,https://www.gutenberg.org/ebooks/31133,gutenberg
Literature,Novels,Hornblower in the West Indies,C. S. Forester,https://openlibrary.org/works/OL1937776W,openlibrary
Education & Reference,Teaching & Education,Household Education,Harriet Martineau,https://www.gutenberg.org/ebooks/38179,gutenberg
Science & Technology,Engineering & Technology,How computers work,"Ron White, Timothy Edward Downs",https://openlibrary.org/works/OL520219W,openlibrary
History,History - European,How France Built Her Cathedrals: A Study in the Twelfth and Thirteenth Centuries,Elizabeth Boyle O'Reilly,https://www.gutenberg.org/ebooks/41687,gutenberg
Science & Technology,Engineering & Technology,How it Works,Archibald Williams,https://www.gutenberg.org/ebooks/28553,gutenberg
Arts & Culture,Music,"How music grew, from prehistoric times to the present day",Ethel R. Peyser and Marion Bauer,https://www.gutenberg.org/ebooks/72171,gutenberg
Arts & Culture,Music,How to sing [Meine Gesangskunst],Lilli Lehmann,https://www.gutenberg.org/ebooks/19116,gutenberg
Education & Reference,Teaching & Education,How to solve it,George Pólya,https://openlibrary.org/works/OL4569830W,openlibrary
Education & Reference,Teaching & Education,How We Think,John Dewey,https://www.gutenberg.org/ebooks/37423,gutenberg
Education & Reference,Teaching & Education,Human Anatomy,"Elaine Nicpon Marieb, Jon B. Mallatt, Patricia Brady Wilhelm",https://openlibrary.org/works/OL15316886W,openlibrary
Health & Medicine,Nutrition,Human Foods and Their Nutritive Value,Harry Snyder,https://www.gutenberg.org/ebooks/20871,gutenberg
History,Archaeology & Anthropology,Humanity,"James G. Peoples, Garrick A. Bailey, James Peoples, Garrick Bailey, Garrick Alan Bailey",https://openlibrary.org/works/OL13121W,openlibrary
Social Sciences & Society,Gender & Sexuality Studies,Human sexuality,Anne Bolin,https://openlibrary.org/works/OL18552394W,openlibrary
Social Sciences & Society,Gender & Sexuality Studies,Human sexuality,"Bryan Strong, Christine Devault, Barbara Werner Sayad, Christine DeVault, Barbara Sayad, William Yarber",https://openlibrary.org/works/OL1958977W,openlibrary
Social Sciences & Society,Law & Criminology,Ifugao Law,Roy Franklin Barton,https://www.gutenberg.org/ebooks/40807,gutenberg
History,History - Religious,Il nome della rosa,Umberto Eco,https://openlibrary.org/works/OL8996439W,openlibrary
Religion & Philosophy,Religion/Spirituality,Imitation of Christ,"Thomas à Kempis, Jérôme de Gonnelieu, Richard Challoner, Ronald Arbuthnott Knox, Michael Oakley, Paul M. Bechtel, Joseph N. Tylenda, Elder Mullan, Henri Belleau, Félicité Robert de Lamennais, John Payne, William C. Creasy, Thomas Rogers, Sixtus V Pope, Hal McElwaine Helms, Harold C. Gardiner, Richard Whitford, Edgar Daplyn, David Alexander MacLennan, E. M. Blaiklock, Aloysius Croft, Harold Bolton, Richard Whitford, Wilfrid Raynal, Henry Parry Liddon, Félicité Robert De Lamennais, Jon M. Sweeney, Rev. William Benham, Rev. William Rev. William Benham, Valenti Angelo, Challoner, Leo Sherley-Price, Paul Wesley Chilcote, Pierre Corneille, Thomas Chalmers, George Hickes",https://openlibrary.org/works/OL260847W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Improving residential practice,"Pat Potter, Vanessa Wiseman",https://openlibrary.org/works/OL9611578W,openlibrary
Literature,German Literature,Im Westen nichts Neues,Erich Maria Remarque,https://openlibrary.org/works/OL1209288W,openlibrary
Literature,Biographies,Incidents in the life of a slave girl,"Harriet A. Jacobs, Harriet Jacobs, Lydia Maria Child, Francine L. Jacobs, l. maria child, Carolyn L. Karcher, Jacobs, Hans Murray, Carla Fonte Sánchez, Carme Manuel Cuenca",https://openlibrary.org/works/OL28623W,openlibrary
Social Sciences & Society,Law & Criminology,In Cold Blood,Truman Capote,https://openlibrary.org/works/OL1992198W,openlibrary
Arts & Culture,"Essays, Letters & Speeches",In Defense of Women,H. L. Mencken,https://www.gutenberg.org/ebooks/1270,gutenberg
History,History - Other,Indian Currency and Finance,John Maynard Keynes,https://www.gutenberg.org/ebooks/49166,gutenberg
Arts & Culture,"Essays, Letters & Speeches",India's freedom,Jawaharlal Nehru,https://openlibrary.org/works/OL296136W,openlibrary
History,History - Religious,Inferno,Dante Alighieri,https://openlibrary.org/works/OL93227W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,Initial sensitivity to alcohol,"Workshop on Alcohol Intoxication (1988 Keystone, Colo.)",https://openlibrary.org/works/OL4583399W,openlibrary
Science & Technology,Science - Physics,Instabilities and chaos in quantum optics II,"NATO Advanced Study Institute on Instabilities and Chaos in Quantum Optics (1987 Il Ciocco, Italy), N.B. Abraham, F.T. Arecchi, L.A. Lugiato",https://openlibrary.org/works/OL4624125W,openlibrary
Science & Technology,Engineering & Technology,Inventions in the Century,William Henry Doolittle,https://www.gutenberg.org/ebooks/36776,gutenberg
Literature,Classics of Literature,Ivanhoe,Sir Walter Scott,https://openlibrary.org/works/OL863808W,openlibrary
Literature,Classics of Literature,Jane Eyre,Charlotte Brontë,https://openlibrary.org/works/OL1095427W,openlibrary
Literature,Novels,Jane Eyre: An Autobiography,Charlotte Brontë,https://www.gutenberg.org/ebooks/1260,gutenberg
Science & Technology,Engineering & Technology,Jane's All the World's Aircraft. 1913,,https://www.gutenberg.org/ebooks/34815,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,Japanese Girls and Women,Alice Mabel Bacon,https://www.gutenberg.org/ebooks/32449,gutenberg
Arts & Culture,Architecture,Jean Dubuffet,"Jean Dubuffet, Jean Dubuffent, Mildred Glimcher",https://openlibrary.org/works/OL1395180W,openlibrary
History,History - European,Jenseits von Gut und Böse,Friedrich Nietzsche,https://openlibrary.org/works/OL98174W,openlibrary
Religion & Philosophy,Religion/Spirituality,John Donne Poetry,"John Donne, John Booty, P.G. Stanwood",https://openlibrary.org/works/OL15420303W,openlibrary
Social Sciences & Society,Politics,John F. Kennedy's Inaugural Address,John F. Kennedy,https://www.gutenberg.org/ebooks/3,gutenberg
Education & Reference,Journals,Journal of the American Oriental Society,American Oriental Society,https://openlibrary.org/works/OL13100830W,openlibrary
Education & Reference,Teaching & Education,Julius Caesar,William Shakespeare,https://openlibrary.org/works/OL362702W,openlibrary
Science & Technology,Engineering & Technology,Jurassic Park,Michael Crichton,https://openlibrary.org/works/OL46881W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Khaki knitting book,,https://www.gutenberg.org/ebooks/76611,gutenberg
Literature,British Literature,Kim,Rudyard Kipling,https://openlibrary.org/works/OL19908W,openlibrary
Literature,German Literature,Kinder- und Hausmärchen,Gebrüder Grimm [Brothers Grimm],https://openlibrary.org/works/OL45361W,openlibrary
History,History - Royalty,King and commonwealth : A history of Charles I. and the great rebellion,J. Surtees Phillpotts and Bertha Meriton Gardiner,https://www.gutenberg.org/ebooks/76676,gutenberg
Education & Reference,Teaching & Education,King Henry V,William Shakespeare,https://openlibrary.org/works/OL361466W,openlibrary
Arts & Culture,Music,Kokuritsu Kokkai Toshokan shozō Meijiki kankō tosho maikuro-ban shūsei,Kokuritsu Kokkai Toshokan (Japan),https://openlibrary.org/works/OL33207850W,openlibrary
Social Sciences & Society,Law & Criminology,Kriminologi dan hukum pidana,Abintoro Prakoso,https://openlibrary.org/works/OL23244271W,openlibrary
Social Sciences & Society,Politics,Labour policy—false and true : A study in economic history and industrial economics,Lynden Livingston Macassey,https://www.gutenberg.org/ebooks/70243,gutenberg
Arts & Culture,Architecture,La cathédrale,Joris-Karl Huysmans,https://openlibrary.org/works/OL2239465W,openlibrary
Social Sciences & Society,Old Age & the Elderly,La chanson des vieux époux (French),Pierre Loti,https://www.gutenberg.org/ebooks/51313,gutenberg
Social Sciences & Society,Politics,La conquête du pain,Peter Kropotkin,https://openlibrary.org/works/OL1105382W,openlibrary
Literature,Novels,Lady Chatterley's lover,D. H. Lawrence,https://www.gutenberg.org/ebooks/73144,gutenberg
Literature,Literature - Other,La mirabile visione: Abbozzo d'una storia della Divina Comedia (Italian),Giovanni Pascoli,https://www.gutenberg.org/ebooks/46082,gutenberg
History,History - Ancient,La Poetica,Aristotle,https://openlibrary.org/works/OL151515W,openlibrary
Science & Technology,Science - Physics,Laser-beam interactions with materials,"M. Von Allmen, Martin v. Allmen, Andreas Blatter",https://openlibrary.org/works/OL2947831W,openlibrary
Education & Reference,Teaching & Education,Latin for Beginners,Benjamin L. D'Ooge,https://www.gutenberg.org/ebooks/18251,gutenberg
Arts & Culture,"Essays, Letters & Speeches",Laughter: An Essay on the Meaning of the Comic,Henri Bergson,https://www.gutenberg.org/ebooks/4352,gutenberg
Literature,Novels,Là-bas,J.-K. Huysmans,https://www.gutenberg.org/ebooks/14323,gutenberg
Literature,American Literature,Leaves of Grass,Walt Whitman,https://openlibrary.org/works/OL16333W,openlibrary
History,History - European,Le Comte de Monte Cristo,Alexandre Dumas,https://openlibrary.org/works/OL36287W,openlibrary
Arts & Culture,Architecture,Le Corbusier,Le Corbusier,https://openlibrary.org/works/OL15210196W,openlibrary
Social Sciences & Society,Gender & Sexuality Studies,Le Deuxième Sexe,Simone de Beauvoir,https://openlibrary.org/works/OL767941W,openlibrary
Arts & Culture,Music,Le fantôme de l'opéra,Gaston Leroux,https://openlibrary.org/works/OL1833989W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Lefty o' the Blue Stockings,Burt L. Standish,https://www.gutenberg.org/ebooks/76584,gutenberg
History,History - European,Legends of the Bastille,Frantz Funck-Brentano,https://www.gutenberg.org/ebooks/43231,gutenberg
Arts & Culture,Architecture,Leonardo,"Leonardo da Vinci, Kunster, Erfinder, Wissenschaftler, Michael Desmond, Carlo Pedretti",https://openlibrary.org/works/OL695408W,openlibrary
History,History - European,Le roman du masque de fer,Alexandre Dumas,https://openlibrary.org/works/OL36371W,openlibrary
Literature,Biographies,Les confessions,Jean-Jacques Rousseau,https://openlibrary.org/works/OL80592W,openlibrary
Literature,Novels,Les misérables Tome I: Fantine (French),Victor Hugo,https://www.gutenberg.org/ebooks/17489,gutenberg
History,History - European,Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",https://openlibrary.org/works/OL36861W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Let's play Pokémon : trading card game : the ultimate manual for parents & kids,"Wizards of the Coast, Brown",https://openlibrary.org/works/OL18456863W,openlibrary
Health & Medicine,Nutrition,"Letter on Corpulence, Addressed to the Public",William Banting,https://www.gutenberg.org/ebooks/57545,gutenberg
Religion & Philosophy,Religion/Spirituality,"Letters on the equality of the sexes, and the condition of woman",Sarah Grimké,https://www.gutenberg.org/ebooks/69485,gutenberg
Education & Reference,Teaching & Education,"Letters to His Son, Complete",Earl of Philip Dormer Stanhope Chesterfield,https://www.gutenberg.org/ebooks/3361,gutenberg
Literature,Biographies,Life and Letters of Charles Darwin — Volume 1,Charles Darwin,https://www.gutenberg.org/ebooks/2087,gutenberg
History,History - Royalty,"Life of Napoleon Bonaparte, Volume II.",Walter Scott,https://www.gutenberg.org/ebooks/48838,gutenberg
Literature,Biographies,Life on the Mississippi,Mark Twain,https://www.gutenberg.org/ebooks/245,gutenberg
Arts & Culture,"Essays, Letters & Speeches","Lincoln's Letters, Essays and Speeches",Abraham Lincoln,https://openlibrary.org/works/OL7972843W,openlibrary
Lifestyle & Hobbies,Sports/Hobbies,Little Wars; a game for boys from twelve years of age to one hundred and fifty and for that more intelligent sort of girl who likes boys' games and books.,H. G. Wells,https://www.gutenberg.org/ebooks/3691,gutenberg
Literature,American Literature,"Little Women; Or, Meg, Jo, Beth, and Amy",Louisa May Alcott,https://www.gutenberg.org/ebooks/37106,gutenberg
History,History - Royalty,Lives,Plutarch,https://openlibrary.org/works/OL2521179W,openlibrary
Literature,Biographies,Lives of Fair and Gallant Ladies. Vol 1,Pierre de Bourdeille Brantôme,https://www.gutenberg.org/ebooks/67025,gutenberg
History,History - Royalty,London and the Kingdom - Volume 2,Reginald R. Sharpe,https://www.gutenberg.org/ebooks/20990,gutenberg
Social Sciences & Society,Old Age & the Elderly,Looking toward sunset,,https://www.gutenberg.org/ebooks/69503,gutenberg
Social Sciences & Society,Gender & Sexuality Studies,Love Potions Through the Ages: A Study of Amatory Devices and Mores,Harry E. Wedeck,https://www.gutenberg.org/ebooks/63577,gutenberg
Education & Reference,Journals,Lucifer: A Theosophical Magazine. Volume I. September 1887-February 1888.,Various,https://www.gutenberg.org/ebooks/60852,gutenberg
History,History - Ancient,Lysistrata,Aristophanes,https://www.gutenberg.org/ebooks/7700,gutenberg
Education & Reference,Teaching & Education,Macbeth,William Shakespeare,https://openlibrary.org/works/OL258902W,openlibrary
Social Sciences & Society,Old Age & the Elderly,Madame Claire,Susan Ertz,https://www.gutenberg.org/ebooks/63448,gutenberg
History,Archaeology & Anthropology,Malay Magic,Walter William Skeat,https://www.gutenberg.org/ebooks/47873,gutenberg
Social Sciences & Society,Politics,Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",https://openlibrary.org/works/OL629052W,openlibrary
History,Archaeology & Anthropology,Man makes himself,V. Gordon Childe,https://openlibrary.org/works/OL1138719W,openlibrary
Arts & Culture,Fashion,"Manners, Customs, and Dress During the Middle Ages and During the Renaissance Period",P. L. Jacob,https://www.gutenberg.org/ebooks/10940,gutenberg
Science & Technology,Engineering & Technology,Manufacturing engineering and technology,"Serope Kalpakjian, Steven Schmid",https://openlibrary.org/works/OL3289918W,openlibrary
Health & Medicine,Nutrition,Mars and Venus in the bedroom,John Gray,https://openlibrary.org/works/OL1965529W,openlibrary
Literature,American Literature,Martin Eden,Jack London,https://openlibrary.org/works/OL144822W,openlibrary
Arts & Culture,Architecture,Mary Poppins,P. L. Travers,https://openlibrary.org/works/OL262141W,openlibrary
Education & Reference,Reports & Conference Proceedings,Mason's Norwich General and Commercial Directory & Handbook,R. Hindry Mason,https://www.gutenberg.org/ebooks/62401,gutenberg
Literature,German Literature,Max und Moritz: Eine Bubengeschichte in sieben Streichen (German),Wilhelm Busch,https://www.gutenberg.org/ebooks/17161,gutenberg
Education & Reference,Teaching & Education,McGuffey's Fourth Eclectic Reader,William Holmes McGuffey,https://www.gutenberg.org/ebooks/14880,gutenberg
Arts & Culture,Music,Medea,Euripides,https://openlibrary.org/works/OL66501W,openlibrary
Literature,Biographies,Meditations,Emperor of Rome Marcus Aurelius,https://www.gutenberg.org/ebooks/2680,gutenberg
Arts & Culture,"Essays, Letters & Speeches",Meditations,Marcus Aurelius,https://openlibrary.org/works/OL1317211W,openlibrary
Social Sciences & Society,Politics,Mein Kampf,Adolf Hitler,https://openlibrary.org/works/OL1067314W,openlibrary
History,History - Other,Memoirs of Extraordinary Popular Delusions and the Madness of Crowds,Charles Mackay,https://www.gutenberg.org/ebooks/24518,gutenberg
Literature,Novels,Memoirs of Fanny Hill,John Cleland,https://www.gutenberg.org/ebooks/25305,gutenberg
History,History - Royalty,Memoirs of Louis XIV and His Court and of the Regency — Complete,duc de Louis de Rouvroy Saint-Simon,https://www.gutenberg.org/ebooks/3875,gutenberg
Literature,Biographies,Memoirs of the Author of a Vindication of the Rights of Woman,William Godwin,https://www.gutenberg.org/ebooks/16199,gutenberg
History,History - Royalty,"Memoirs of the Court of Marie Antoinette, Queen of France, Complete",Mme. Campan,https://www.gutenberg.org/ebooks/3891,gutenberg
Education & Reference,Journals,Memoirs of the life and religious labors of Edward Hicks,"Hicks, Edward",https://openlibrary.org/works/OL4407362W,openlibrary
Arts & Culture,Architecture,Memórias póstumas de Brás Cubas,Joaquim Maria Machado de Assis,https://openlibrary.org/works/OL1003017W,openlibrary
Social Sciences & Society,Psychiatry/Psychology,"Men are From Mars, Women are From Venus","John Gray, John Gray, John [Ph.D] Gray",https://openlibrary.org/works/OL263458W,openlibrary
Health & Medicine,Drugs/Alcohol/Pharmacology,Merck's 1899 Manual of the Materia Medica,Merck & Co.,https://www.gutenberg.org/ebooks/41697,gutenberg
Health & Medicine,Drugs/Alcohol/Pharmacology,Metabolic effects of alcohol,"International Symposium on Metabolic Effects of Alcohol (1979 Milan, Italy)",https://openlibrary.org/works/OL6566688W,openlibrary
Literature,German Literature,Metamorphosis,Franz Kafka,https://www.gutenberg.org/ebooks/5200,gutenberg
History,History - Ancient,"Mexico, Aztec, Spanish and Republican, Vol. 1 of 2",Brantz Mayer,https://www.gutenberg.org/ebooks/37887,gutenberg
Literature,British Literature,Middlemarch,George Eliot,https://www.gutenberg.org/ebooks/145,gutenberg
